customer_id,service_type,Hora_Llegada,Hora_Atencion,Hora_Salida,Tiempo_Servicio,Tiempo_Entre_Llegadas
1,Cajas generales,09:00:00,09:00:00,09:13:11,0:13:11,0:00:00
2,Cajas generales,09:03:41,09:03:41,09:09:22,0:05:41,0:03:41
3,Cajas generales,09:03:56,09:03:56,09:08:33,0:04:37,0:00:15
4,Cajas generales,09:04:40,09:04:40,09:12:42,0:08:02,0:00:44
5,Cajero automático,09:07:33,09:07:33,09:14:44,0:07:11,0:02:53
6,Cajas generales,09:08:35,09:08:35,09:17:01,0:08:26,0:01:01
7,Cajas generales,09:08:43,09:08:43,09:17:17,0:08:34,0:00:08
8,Cajas generales,09:12:36,09:12:36,09:24:17,0:11:41,0:03:53
9,Cajas generales,09:13:27,09:13:27,09:23:25,0:09:58,0:00:51
10,Cajas generales,09:16:27,09:16:27,09:18:46,0:02:19,0:03:00
11,Cajas generales,09:22:22,09:22:22,09:26:24,0:04:02,0:05:55
12,Caja preferencial,09:27:57,09:27:57,09:34:30,0:06:33,0:05:35
13,Cajas generales,09:30:13,09:30:13,09:35:24,0:05:11,0:02:15
14,Cajero automático,09:31:44,09:31:44,09:33:52,0:02:08,0:01:31
15,Cajas generales,09:34:42,09:34:42,09:47:32,0:12:50,0:02:58
16,Cajas generales,09:38:44,09:38:44,09:49:41,0:10:57,0:04:02
17,Cajas generales,09:39:26,09:39:26,09:47:34,0:08:08,0:00:42
18,Caja preferencial,09:41:40,09:41:40,09:52:10,0:10:30,0:02:14
19,Atención al cliente,09:43:21,09:43:21,09:52:48,0:09:27,0:01:41
20,Caja preferencial,09:43:32,09:43:32,09:47:29,0:03:57,0:00:11
21,Cajas generales,09:47:30,09:47:30,09:57:38,0:10:08,0:03:59
22,Cajas generales,09:48:50,09:48:50,10:00:59,0:12:09,0:01:20
23,Cajas generales,09:55:32,09:55:32,10:01:45,0:06:13,0:06:42
24,Atención al cliente,09:55:52,09:55:52,10:04:08,0:08:16,0:00:20
25,Cajas generales,09:57:18,09:57:18,10:01:22,0:04:04,0:01:26
26,Cajas generales,09:58:30,09:58:30,10:04:09,0:05:39,0:01:12
27,Cajas generales,10:02:41,10:02:41,10:14:52,0:12:11,0:04:11
28,Atención al cliente,10:02:56,10:02:56,10:16:58,0:14:02,0:00:16
29,Cajas generales,10:03:14,10:03:14,10:08:44,0:05:30,0:00:18
30,Caja preferencial,10:03:31,10:03:31,10:11:13,0:07:42,0:00:17
31,Atención al cliente,10:04:31,10:04:31,10:15:27,0:10:56,0:01:00
32,Cajero automático,10:05:32,10:05:32,10:12:26,0:06:54,0:01:01
33,Cajas generales,10:06:08,10:06:08,10:09:36,0:03:28,0:00:36
34,Cajas generales,10:07:53,10:07:53,10:10:55,0:03:02,0:01:45
35,Cajas generales,10:10:15,10:10:15,10:19:24,0:09:09,0:02:22
36,Atención al cliente,10:10:39,10:10:39,10:25:27,0:14:48,0:00:24
37,Cajas generales,10:13:51,10:13:51,10:28:19,0:14:28,0:03:12
38,Cajero automático,10:15:58,10:15:58,10:25:28,0:09:30,0:02:07
39,Cajas generales,10:17:04,10:17:04,10:24:21,0:07:17,0:01:06
40,Cajas generales,10:21:58,10:21:58,10:35:29,0:13:31,0:04:54
41,Cajas generales,10:22:19,10:22:19,10:36:50,0:14:31,0:00:22
42,Cajas generales,10:22:41,10:22:41,10:28:19,0:05:38,0:00:22
43,Cajas generales,10:26:37,10:26:37,10:36:34,0:09:57,0:03:56
44,Cajas generales,10:31:19,10:31:19,10:44:51,0:13:32,0:04:42
45,Caja preferencial,10:33:37,10:33:37,10:39:30,0:05:53,0:02:17
46,Cajas generales,10:34:07,10:34:07,10:41:50,0:07:43,0:00:30
47,Cajas generales,10:35:24,10:35:24,10:42:03,0:06:39,0:01:17
48,Cajero automático,10:38:23,10:38:23,10:45:00,0:06:37,0:02:59
49,Cajero automático,10:41:58,10:41:58,10:54:29,0:12:31,0:03:36
50,Cajas generales,10:42:29,10:42:29,10:52:36,0:10:07,0:00:31
